Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20
,Volgograd,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,8,8,8,8,8,15,26,26,26,28,33,38,44,46,47,58,62,79,93,111,134,145,165,186,212,242,272,297,313,344,386,432,474,516,578,647,711,791,893,1012,1061,1135,1259,1355,1445,1531,1596,1661,1747,1831,1913,2002,2109,2207,2296,2384,2470,2581,2714,2868,3026,3215,3334,3432,3541,3669,3794,3913,4030,4122,4238,4346,4460,4569,4677,4783,4887,4991,5100,5207,5312,5410,5518,5622,5724,5825,5935,6037,6135,6232,6327,6419,6508,6597,6688,6783,6877,6969,7058,7146,7240,7332
,Vologda,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,12,12,13,13,23,23,27,35,38,39,42,43,50,52,67,77,86,93,100,107,114,120,129,138,145,155,160,166,173,184,199,219,223,230,236,241,253,267,286,298,317,334,346,361,398,431,454,477,502,528,562,603,643,665,699,774,833,860,882,929,952,979,998,1018,1035,1056,1084,1111,1137,1159,1189,1221,1254,1284,1302,1317,1335,1359,1386,1408,1428,1445,1466,1487,1508,1526,1546,1565,1586,1607,1628,1646,1666,1688,1709,1730,1749,1770,1790,1818,1856
,Voronezh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,6,6,6,6,6,6,6,8,12,12,12,14,14,23,23,33,33,37,37,49,60,68,75,89,108,130,156,180,211,236,261,291,313,338,358,420,459,493,529,565,602,636,667,697,731,766,809,848,899,943,983,1028,1074,1113,1151,1195,1246,1266,1307,1362,1419,1463,1518,1581,1643,1753,1857,1946,2028,2139,2234,2361,2466,2592,2698,2837,3065,3285,3527,3766,3993,4221,4440,4660,4861,5062,5258,5461,5663,5863,6062,6259,6457,6653,6846,7036,7224,7409,7588,7754,7908,8059,8211,8359,8505,8644,8778,8909,9036,9159
,Jewish Autonomy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6,8,8,8,9,9,9,10,16,19,20,22,43,52,66,80,86,86,101,113,118,124,131,134,143,145,148,153,159,170,175,179,185,188,212,218,222,225,230,230,236,246,261,262,263,266,267,272,274,281,288,299,309,314,314,317,323,329,336,343,347,350,356,363,367,371,374,374,378,382,386,390,394,397,399,400,404,408,413,417,421,424,426,428,430,433,435,438,441,446,452,457,462,469
,Zabaykalsky,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,8,14,14,14,28,30,33,34,43,50,61,64,73,83,90,96,103,109,114,134,155,167,198,215,238,254,262,272,305,344,364,386,432,454,486,510,550,595,615,646,684,727,758,817,879,938,991,1019,1052,1097,1136,1165,1218,1257,1321,1398,1471,1551,1634,1704,1765,1841,1907,1996,2081,2174,2263,2325,2391,2458,2527,2596,2667,2738,2793,2854,2916,2975,3038,3100,3161,3212,3260,3309,3355,3399,3441,3480,3516,3555,3595
,Ivanovo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,7,7,9,9,11,11,13,23,23,33,47,47,60,60,62,80,86,96,121,136,149,164,183,203,213,225,239,247,263,274,282,296,327,359,403,434,456,485,517,537,595,653,679,758,843,911,921,1023,1124,1192,1245,1291,1313,1360,1415,1463,1505,1566,1602,1639,1686,1745,1813,1900,1977,2057,2140,2205,2322,2447,2577,2705,2822,2930,3031,3130,3228,3323,3417,3508,3599,3685,3768,3853,3934,4017,4098,4176,4253,4330,4405,4479,4550,4621,4691,4761,4829,4898,4965,5034,5102,5168,5232,5304,5371,5436
,Irkutsk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,7,8,8,8,11,14,14,17,21,23,28,35,39,39,45,47,54,55,65,68,75,75,80,85,87,87,95,101,105,123,130,150,177,200,231,237,255,271,289,313,333,353,379,474,499,526,601,698,746,780,863,958,1078,1194,1306,1376,1438,1498,1660,1750,1979,2189,2309,2447,2542,2613,2792,2877,3083,3265,3505,3656,3819,4028,4155,4474,4653,4786,4950,5143,5334,5528,5726,5919,6128,6338,6575,6807,7043,7285,7533,7776,8025,8260,8501,8740,8985,9225,9468,9679,9885
,Kabardino-Balkaria,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,6,6,8,8,8,8,8,8,13,23,23,27,30,35,50,50,50,69,92,114,136,152,170,193,218,243,272,300,329,367,412,456,499,544,634,739,820,925,1008,1089,1168,1245,1325,1401,1475,1548,1619,1690,1759,1824,1886,1952,2020,2091,2171,2251,2334,2422,2509,2592,2673,2750,2827,2903,2978,3052,3126,3199,3272,3348,3424,3499,3576,3655,3734,3815,3895,3975,4055,4132,4209,4285,4361,4436,4511,4585,4656,4726,4791,4851,4905,4958,5010,5061,5109,5157,5204,5251,5297,5343,5388,5433,5477,5520
,Kaliningrad,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,5,5,5,5,7,7,7,7,8,8,8,11,11,12,12,12,19,19,19,19,19,48,49,52,62,65,70,74,79,84,92,104,115,126,138,144,163,171,189,210,236,264,303,326,358,395,438,479,524,566,583,599,637,671,713,753,772,812,848,881,916,952,978,1010,1042,1076,1117,1158,1201,1244,1294,1338,1376,1409,1460,1508,1553,1607,1642,1665,1700,1736,1776,1813,1858,1904,1946,1984,2027,2072,2112,2124,2161,2195,2227,2262,2292,2321,2348,2356,2373,2392,2411,2426,2436,2446,2455,2472,2487,2505,2521,2539,2553,2564,2578,2591,2605
,Kaluga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,5,5,6,6,7,11,11,11,18,24,24,34,49,74,102,122,151,188,228,258,330,383,444,513,583,639,706,772,885,1006,1065,1136,1217,1309,1407,1486,1564,1641,1730,1828,1924,2018,2115,2213,2312,2409,2518,2632,2750,2871,2998,3123,3246,3354,3459,3560,3653,3744,3834,3923,4009,4092,4179,4270,4357,4431,4511,4600,4691,4761,4829,4923,5011,5091,5169,5246,5321,5399,5462,5522,5580,5640,5694,5744,5788,5834,5880,5925,5973,6018,6066,6117,6170,6222,6272,6321,6368,6413,6458,6509,6559
,Kamchatka,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5,10,10,10,10,10,21,29,29,34,41,48,63,78,84,87,110,195,203,241,265,281,286,311,339,347,348,350,353,363,376,384,398,418,429,443,461,477,495,515,536,554,572,595,627,658,678,700,725,759,805,849,881,916,949,984,1033,1085,1125,1168,1214,1255,1306,1360,1409,1454,1496,1536,1575,1617,1662,1714,1755,1793,1834,1927,1969,2008,2052,2093,2145,2190,2245,2293,2334,2380,2422,2469,2514,2560,2602,2640,2676
,Karachay-Cherkessia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,9,9,11,13,16,23,30,49,50,67,87,106,145,169,194,240,282,301,314,330,352,398,412,430,441,453,457,463,478,509,527,539,549,561,588,614,632,651,666,677,689,701,712,732,757,783,814,853,895,951,1005,1067,1137,1204,1276,1354,1430,1505,1580,1654,1729,1807,1889,1969,2058,2156,2255,2349,2446,2545,2639,2730,2815,2902,2983,3067,3149,3221,3305,3379,3448,3520,3599,3668,3730,3774,3817,3850,3882,3919,3957,3988,4017
,Kemerovo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,5,5,7,7,11,12,12,14,14,15,18,22,26,35,41,47,56,67,76,82,103,107,111,114,126,128,142,153,166,166,180,198,204,214,233,251,260,269,282,296,307,321,328,333,342,365,377,391,406,418,431,444,462,482,495,520,545,589,616,638,666,685,721,752,786,834,868,929,997,1019,1042,1062,1079,1099,1157,1218,1277,1352,1396,1424,1454,1488,1532,1579,1622,1662,1703,1744,1806,1873,1944,2018,2085,2134,2203,2280,2354
,Kirov,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,7,7,7,7,7,8,8,9,12,12,12,12,15,18,18,18,20,20,28,29,35,36,51,51,64,73,91,111,150,169,188,216,240,276,316,362,388,423,466,493,511,543,585,618,644,661,686,718,761,807,835,876,896,911,932,967,1001,1008,1020,1064,1091,1161,1191,1259,1323,1370,1438,1495,1551,1629,1683,1751,1828,1904,1967,2042,2121,2182,2260,2300,2360,2421,2479,2508,2547,2600,2648,2693,2734,2777,2820,2869,2916,2952,2986,3026,3076,3117,3148,3179,3214,3246,3276,3321,3354,3404,3459,3512,3557,3614,3669,3727
,Kostroma,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,8,8,9,9,9,12,15,15,18,18,18,27,38,47,53,66,70,81,88,104,120,137,148,158,180,193,211,227,241,253,266,278,293,311,333,343,357,372,384,402,433,452,460,477,487,500,516,527,540,560,567,580,601,617,656,691,719,758,772,804,825,842,862,888,901,926,953,977,1028,1066,1109,1136,1161,1175,1214,1246,1262,1298,1331,1360,1386,1411,1442,1470,1494,1531,1565,1583,1591,1612,1632,1654,1676,1696,1730,1752,1778,1814,1825
,Krasnodar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,5,5,5,9,9,9,17,17,17,17,22,22,39,39,39,50,61,85,105,125,138,169,210,215,239,260,290,335,383,417,461,481,539,623,707,780,837,888,951,1017,1083,1162,1244,1340,1437,1534,1633,1732,1830,1929,2027,2126,2222,2319,2418,2510,2605,2699,2792,2883,2974,3066,3155,3247,3337,3426,3506,3582,3662,3744,3824,3908,3987,4068,4148,4231,4312,4399,4485,4574,4655,4735,4815,4893,4970,5042,5112,5183,5252,5316,5376,5440,5501,5561,5624,5683,5743,5801,5860,5922,5982,6043,6102,6159,6218,6280,6340,6399,6460,6523,6589,6654
,Krasnoyarsk,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,5,5,5,8,8,12,12,14,14,20,25,25,25,29,32,32,39,39,39,60,85,110,131,142,202,231,276,300,306,370,392,427,449,467,508,527,574,609,666,714,764,781,823,868,910,933,964,1070,1143,1201,1428,1521,1542,1590,1651,1765,1872,1941,2445,2821,2971,3119,3265,3410,3558,3700,3847,3985,4121,4249,4380,4530,4654,4795,4968,5136,5301,5460,5617,5791,5981,6159,6328,6494,6655,6813,6973,7129,7280,7432,7580,7726,7875,8029,8182,8331,8476,8619,8760,8904,9044,9181,9316,9452,9585,9716,9848,9978,10106,10235,10369
,Kurgan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,10,11,12,13,13,13,15,15,20,22,27,29,31,33,39,40,45,49,51,52,55,56,61,65,71,73,79,84,86,95,103,109,111,119,130,133,150,169,177,179,183,189,192,199,202,218,231,245,252,255,259,268,280,288,306,314,330,344,355,369,384,404,413,422,441,473,501,528,571,591,625,660,679,700,739,753,786,794,834,864,905,947,1000,1058,1119,1180,1240,1303
